filepath,category,source_file
data/ood/shoes_boots/shoe_000.jpg,shoes_boots,image151.jpg
data/ood/shoes_boots/shoe_001.jpg,shoes_boots,image217.jpg
data/ood/shoes_boots/shoe_002.jpg,shoes_boots,image51.jpg
data/ood/shoes_boots/shoe_003.jpg,shoes_boots,image170.jpg
data/ood/shoes_boots/shoe_004.jpg,shoes_boots,image241.jpg
data/ood/shoes_boots/shoe_005.jpg,shoes_boots,image249.jpg
data/ood/shoes_boots/shoe_006.jpg,shoes_boots,image113.jpg
data/ood/shoes_boots/shoe_007.jpg,shoes_boots,image153.jpg
data/ood/shoes_boots/shoe_008.jpg,shoes_boots,image43.jpg
data/ood/shoes_boots/shoe_009.jpg,shoes_boots,image190.jpg
data/ood/shoes_boots/shoe_010.jpg,shoes_boots,image149.jpg
data/ood/shoes_boots/shoe_011.jpg,shoes_boots,image47.jpg
data/ood/shoes_boots/shoe_012.jpg,shoes_boots,image230.jpg
data/ood/shoes_boots/shoe_013.jpg,shoes_boots,image175.jpg
data/ood/shoes_boots/shoe_014.jpg,shoes_boots,image16.jpg
data/ood/shoes_boots/shoe_015.jpg,shoes_boots,image148.jpg
data/ood/shoes_boots/shoe_016.jpg,shoes_boots,image298.jpg
data/ood/shoes_boots/shoe_017.jpg,shoes_boots,image292.jpg
data/ood/shoes_boots/shoe_018.jpg,shoes_boots,image212.jpg
data/ood/shoes_boots/shoe_019.jpg,shoes_boots,image30.jpg
data/ood/shoes_boots/shoe_020.jpg,shoes_boots,image267.jpg
data/ood/shoes_boots/shoe_021.jpg,shoes_boots,image183.jpg
data/ood/shoes_boots/shoe_022.jpg,shoes_boots,image209.jpg
data/ood/shoes_boots/shoe_023.jpg,shoes_boots,image243.jpg
data/ood/shoes_boots/shoe_024.jpg,shoes_boots,image234.jpg
data/ood/shoes_boots/shoe_025.jpg,shoes_boots,image79.jpg
data/ood/shoes_boots/shoe_026.jpg,shoes_boots,image170.jpg
data/ood/shoes_boots/shoe_027.jpg,shoes_boots,image92.jpg
data/ood/shoes_boots/shoe_028.jpg,shoes_boots,image207.jpg
data/ood/shoes_boots/shoe_029.jpg,shoes_boots,image31.jpg
data/ood/shoes_boots/shoe_030.jpg,shoes_boots,image290.jpg
data/ood/shoes_boots/shoe_031.jpg,shoes_boots,image71.jpg
data/ood/shoes_boots/shoe_032.jpg,shoes_boots,image178.jpg
data/ood/shoes_boots/shoe_033.jpg,shoes_boots,image259.jpg
data/ood/shoes_boots/shoe_034.jpg,shoes_boots,image176.jpg
data/ood/shoes_boots/shoe_035.jpg,shoes_boots,image283.jpg
data/ood/shoes_boots/shoe_036.jpg,shoes_boots,image152.jpg
data/ood/shoes_boots/shoe_037.jpg,shoes_boots,image223.jpg
data/ood/shoes_boots/shoe_038.jpg,shoes_boots,image107.jpg
