filepath,label,width,height,filesize,md5,group_id
data/raw/Coccidiosis/cocci.0.jpg,Coccidiosis,224,224,29486,1b5c8ff25a408bc911cb6c15f8c5c13f,0
data/raw/Coccidiosis/cocci.1.jpg,Coccidiosis,224,224,36884,59d911828d641ef64b2d61c607c28c8a,1
data/raw/Coccidiosis/cocci.10.jpg,Coccidiosis,224,224,28900,21c42f9fdb84c43ccc2710a6ba7937d6,2
data/raw/Coccidiosis/cocci.100.jpg,Coccidiosis,224,224,34752,cb1d938e8528a23f6f8ecd74037292bc,3
data/raw/Coccidiosis/cocci.1000.jpg,Coccidiosis,224,224,27996,bfb4f6d9d40981a5aaaa5894267d312a,4
data/raw/Coccidiosis/cocci.1001.jpg,Coccidiosis,224,224,23116,5bf51525b61bed6b3b03370e7526b3a0,5
data/raw/Coccidiosis/cocci.1002.jpg,Coccidiosis,224,224,27695,618e4aad86bf3edf835489269bb78fd0,6
data/raw/Coccidiosis/cocci.1003.jpg,Coccidiosis,224,224,35415,6018aadaccff3c4cebcff0daa0ac1e3e,7
data/raw/Coccidiosis/cocci.1004.jpg,Coccidiosis,224,224,37749,7442beb790871ffb7e418378d7259a32,8
data/raw/Coccidiosis/cocci.1005.jpg,Coccidiosis,224,224,28544,4be885c3edef923ab8034c878e17c11a,9
data/raw/Coccidiosis/cocci.1006.jpg,Coccidiosis,224,224,25108,7c3fc3fc4298f2f421fffc464dac8e87,10
data/raw/Coccidiosis/cocci.1007.jpg,Coccidiosis,224,224,32507,f991da75d57e9bda8b92150a1e7cd1b4,11
data/raw/Coccidiosis/cocci.1008.jpg,Coccidiosis,224,224,36633,c63074b49a4ac6975e187bea57e3f264,12
data/raw/Coccidiosis/cocci.1009.jpg,Coccidiosis,224,224,30299,4908099236d6ef0121729c1d83060245,13
data/raw/Coccidiosis/cocci.101.jpg,Coccidiosis,224,224,42159,8b8044526621d4f8e113755b641e6ad8,14
data/raw/Coccidiosis/cocci.1010.jpg,Coccidiosis,224,224,27314,6ded0402f9b3a400ffb82d5996133f18,15
data/raw/Coccidiosis/cocci.1011.jpg,Coccidiosis,224,224,33844,52c4fec41a13eabdee02e6498813b0a7,16
data/raw/Coccidiosis/cocci.1012.jpg,Coccidiosis,224,224,29189,836968593e7e774711f0e6c2082206cd,17
data/raw/Coccidiosis/cocci.1013.jpg,Coccidiosis,224,224,43771,db4c008ffdc1502add2db37bcadacd05,18
data/raw/Coccidiosis/cocci.1014.jpg,Coccidiosis,224,224,31936,b02599779da4d4552a0894dfba7c303c,19
data/raw/Coccidiosis/cocci.1015.jpg,Coccidiosis,224,224,33883,7f1d59861fd4d30a44337b8832dd7e91,20
data/raw/Coccidiosis/cocci.1016.jpg,Coccidiosis,224,224,42845,f09d65a5296c3e127ccd9be49cebe75a,21
data/raw/Coccidiosis/cocci.1017.jpg,Coccidiosis,224,224,29360,5f11f48939e1ab7a88614b1bf2e8c640,22
data/raw/Coccidiosis/cocci.1018.jpg,Coccidiosis,224,224,36406,9c0b032ba30e6adf016765444c929a61,23
data/raw/Coccidiosis/cocci.1019.jpg,Coccidiosis,224,224,35941,4513e4c97a7440915ee13c5325bcca8b,24
data/raw/Coccidiosis/cocci.102.jpg,Coccidiosis,224,224,26881,ce146cbd1082ac44fa27a3ee22163b23,25
data/raw/Coccidiosis/cocci.1020.jpg,Coccidiosis,224,224,38753,55dfb0e7d71815e525f9d4d215ad0882,26
data/raw/Coccidiosis/cocci.1021.jpg,Coccidiosis,224,224,44166,2320d50e935782bf6ac27a622e7dc382,27
data/raw/Coccidiosis/cocci.1022.jpg,Coccidiosis,224,224,32155,fb3e2fcc3b378c79816a00d5f22b4883,28
data/raw/Coccidiosis/cocci.1023.jpg,Coccidiosis,224,224,37251,0238a87abcb10baf241cbd3878b619e2,29
data/raw/Coccidiosis/cocci.1024.jpg,Coccidiosis,224,224,31987,674cc9a19649fe620ef73834100918e1,30
data/raw/Coccidiosis/cocci.1025.jpg,Coccidiosis,224,224,27529,f6d3fc0ac7cc240ef1e3e76071773283,31
data/raw/Coccidiosis/cocci.1026.jpg,Coccidiosis,224,224,31444,a63076a100ff643523ce15d2d2d468ce,32
data/raw/Coccidiosis/cocci.1027.jpg,Coccidiosis,224,224,36277,4bb62d5f8754abda51f974ea26043c3c,33
data/raw/Coccidiosis/cocci.1028.jpg,Coccidiosis,224,224,33980,371e76aaea03bf224c524c6c3f963743,34
data/raw/Coccidiosis/cocci.1029.jpg,Coccidiosis,224,224,30025,162dac6c845ced237db3f74004d3556d,35
data/raw/Coccidiosis/cocci.103.jpg,Coccidiosis,224,224,33174,78666d22f057c13747c2f80aced39cff,36
data/raw/Coccidiosis/cocci.1030.jpg,Coccidiosis,224,224,21526,2036444b8ea2fb9d50aa95125c5e67b4,37
data/raw/Coccidiosis/cocci.1031.jpg,Coccidiosis,224,224,45719,5ff58947660ecdaeb9725ecb79d89eeb,38
data/raw/Coccidiosis/cocci.1032.jpg,Coccidiosis,224,224,32143,11d5a0d41cf6e94248a50e1c3cd7c4cd,39
data/raw/Coccidiosis/cocci.1033.jpg,Coccidiosis,224,224,38876,e6a812933661a02701dae21a33d50fbc,40
data/raw/Coccidiosis/cocci.1034.jpg,Coccidiosis,224,224,33318,0ee69a229713503285cfe8bd2fb520fb,41
data/raw/Coccidiosis/cocci.1035.jpg,Coccidiosis,224,224,21223,e3a3414125a09b442285a9d54c343f7f,42
data/raw/Coccidiosis/cocci.1036.jpg,Coccidiosis,224,224,26413,2245000d46ad7cd6a1ea80675e3864a9,43
data/raw/Coccidiosis/cocci.1037.jpg,Coccidiosis,224,224,30982,94567e03aefbc02cfaea2f988e199e56,44
